"","站名","年","月","PM2.5 天數","PM10 天數","PM2.5 average","PM10 average","縣市","鄉鎮"
"170","平鎮","2014","01",13,4,35.3165113871636,77.0523024777934,"桃園市","平鎮區"
"171","永和","2014","01",11,2,29.9863838242169,53.7391304347826,"新北市","永和區"
"172","安南","2014","01",21,8,51.0240972967027,115.279920523609,"臺南市","安南區"
"173","朴子","2014","01",22,8,49.6795497046198,120.350763950869,"嘉義縣","朴子市"
"174","汐止","2014","01",10,0,28.2573048153343,49.7942804624081,"新北市","汐止區"
"175","竹山","2014","01",23,1,46.8032917584986,86.6219399464491,"南投縣","竹山鎮"
"176","竹東","2014","01",13,1,31.6284941682908,57.1955990479833,"新竹縣","竹東鎮"
"177","西屯","2014","01",17,3,43.0224060171053,78.9113865742651,"臺中市","西屯區"
"178","沙鹿","2014","01",17,2,41.6029603285915,71.9942062378949,"臺中市","沙鹿區"
"179","宜蘭","2014","01",6,1,23.2527466105657,49.0672043010753,"宜蘭縣","宜蘭市"
"180","忠明","2014","01",20,1,47.4432616588647,75.103190743338,"臺中市","南屯區"
"181","松山","2014","01",7,2,26.8748497295131,53.5983520336606,"臺北市","松山區"
"182","板橋","2014","01",12,2,33.1984670892455,61.6438862680097,"新北市","板橋區"
"183","林口","2014","01",11,2,31.4967274427302,55.4045592672872,"新北市","林口區"
"184","林園","2014","01",26,0,50.7132558301913,63.6053868174836,"高雄市","林園區"
"185","花蓮","2014","01",4,0,22.2450295380169,40.5071155858323,"花蓮縣","花蓮市"
"186","金門","2014","01",22,12,57.916432912576,114.72159887798,"金門縣","金城鎮"
"187","前金","2014","01",28,8,56.0245335543372,111.184319249396,"高雄市","前金區"
"188","前鎮","2014","01",25,6,53.5627360562143,106.907560882315,"高雄市","前鎮區"
"189","南投","2014","01",19,3,43.4881954184198,83.2990458583025,"南投縣","南投市"
"190","屏東","2014","01",22,2,49.3360330680787,93.5591982234689,"屏東縣","屏東市"
"191","恆春","2014","01",2,0,14.7913372859025,35.1365708274895,"屏東縣","恆春鎮"
"192","美濃","2014","01",21,0,43.341636916146,81.2390294955162,"高雄市","美濃區"
"193","苗栗","2014","01",15,2,37.6225455820477,65.7805633473586,"苗栗縣","苗栗市"
